2024-08-18 20:31:45,810 - data_preparation - INFO - Total number of files: 12126
2024-08-18 20:31:45,810 - data_preparation - INFO - Using subset of 121 files
2024-08-18 20:31:45,811 - data_preparation - INFO - Training set size: 96
2024-08-18 20:31:45,811 - data_preparation - INFO - Validation set size: 25
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Clean phase range: [-3.1400, 3.1416]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Clean phase range: [-3.1380, 3.1416]
2024-08-18 20:31:46,822 - data_preparation - DEBUG - Clean phase range: [-3.1387, 3.1416]
2024-08-18 20:31:46,823 - data_preparation - DEBUG - Clean phase range: [-3.1397, 3.1416]
2024-08-18 20:31:46,823 - data_preparation - DEBUG - Noisy phase range: [-3.1381, 3.1416]
2024-08-18 20:31:46,823 - data_preparation - DEBUG - Noisy phase range: [-3.1381, 3.1416]
2024-08-18 20:31:46,823 - data_preparation - DEBUG - Noisy phase range: [-3.1378, 3.1416]
2024-08-18 20:31:46,823 - data_preparation - DEBUG - Noisy phase range: [-3.1398, 3.1416]
2024-08-18 20:31:46,823 - data_preparation - DEBUG - Noisy phase range: [-3.1401, 3.1416]
2024-08-18 20:31:46,823 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,824 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,824 - data_preparation - DEBUG - Clean phase range: [-3.1392, 3.1416]
2024-08-18 20:31:46,825 - data_preparation - DEBUG - Noisy phase range: [-3.1373, 3.1416]
2024-08-18 20:31:46,826 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,826 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,827 - data_preparation - DEBUG - Clean phase range: [-3.1400, 3.1416]
2024-08-18 20:31:46,827 - data_preparation - DEBUG - Noisy phase range: [-3.1403, 3.1416]
2024-08-18 20:31:46,889 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,889 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,890 - data_preparation - DEBUG - Clean phase range: [-3.1405, 3.1416]
2024-08-18 20:31:46,890 - data_preparation - DEBUG - Noisy phase range: [-3.1397, 3.1416]
2024-08-18 20:31:46,891 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,891 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,891 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,891 - data_preparation - DEBUG - Clean phase range: [-3.1390, 3.1416]
2024-08-18 20:31:46,891 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,892 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,892 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,892 - data_preparation - DEBUG - Noisy phase range: [-3.1415, 3.1416]
2024-08-18 20:31:46,892 - data_preparation - DEBUG - Clean phase range: [-3.1372, 3.1416]
2024-08-18 20:31:46,892 - data_preparation - DEBUG - Clean phase range: [-3.1398, 3.1416]
2024-08-18 20:31:46,892 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,893 - data_preparation - DEBUG - Noisy phase range: [-3.1376, 3.1416]
2024-08-18 20:31:46,893 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,893 - data_preparation - DEBUG - Noisy phase range: [-3.1399, 3.1416]
2024-08-18 20:31:46,893 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,893 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,893 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,893 - data_preparation - DEBUG - Clean phase range: [-3.1372, 3.1416]
2024-08-18 20:31:46,893 - data_preparation - DEBUG - Clean phase range: [-3.1405, 3.1416]
2024-08-18 20:31:46,893 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,894 - data_preparation - DEBUG - Noisy phase range: [-3.1379, 3.1416]
2024-08-18 20:31:46,894 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,894 - data_preparation - DEBUG - Noisy phase range: [-3.1411, 3.1416]
2024-08-18 20:31:46,894 - data_preparation - DEBUG - Clean phase range: [-3.1382, 3.1416]
2024-08-18 20:31:46,894 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,894 - data_preparation - DEBUG - Noisy phase range: [-3.1398, 3.1416]
2024-08-18 20:31:46,895 - data_preparation - DEBUG - Clean phase range: [-3.1383, 3.1416]
2024-08-18 20:31:46,895 - data_preparation - DEBUG - Noisy phase range: [-3.1396, 3.1416]
2024-08-18 20:31:46,968 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,969 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,969 - data_preparation - DEBUG - Clean phase range: [-3.1404, 3.1416]
2024-08-18 20:31:46,970 - data_preparation - DEBUG - Noisy phase range: [-3.1409, 3.1416]
2024-08-18 20:31:46,970 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,971 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,971 - data_preparation - DEBUG - Clean phase range: [-3.1394, 3.1416]
2024-08-18 20:31:46,971 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,971 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,971 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,972 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,972 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,972 - data_preparation - DEBUG - Noisy phase range: [-3.1404, 3.1416]
2024-08-18 20:31:46,972 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,972 - data_preparation - DEBUG - Clean phase range: [-3.1405, 3.1416]
2024-08-18 20:31:46,972 - data_preparation - DEBUG - Clean phase range: [-3.1378, 3.1416]
2024-08-18 20:31:46,972 - data_preparation - DEBUG - Clean phase range: [-3.1390, 3.1416]
2024-08-18 20:31:46,972 - data_preparation - DEBUG - Noisy phase range: [-3.1393, 3.1416]
2024-08-18 20:31:46,973 - data_preparation - DEBUG - Noisy phase range: [-3.1407, 3.1416]
2024-08-18 20:31:46,973 - data_preparation - DEBUG - Noisy phase range: [-3.1383, 3.1416]
2024-08-18 20:31:46,973 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,974 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,974 - data_preparation - DEBUG - Clean phase range: [-3.1399, 3.1416]
2024-08-18 20:31:46,975 - data_preparation - DEBUG - Noisy phase range: [-3.1379, 3.1416]
2024-08-18 20:31:46,975 - data_preparation - DEBUG - Clean mag range: [-1.0000, 1.0000]
2024-08-18 20:31:46,975 - data_preparation - DEBUG - Noisy mag range: [-1.0000, 1.0000]
